Date;SIE;ALVG;VOWG
05-Mrz-2024;178.5400;254.4500;119.1600
04-Mrz-2024;181.0800;252.0000;120.6800
01-Mrz-2024;181.2800;251.8000;119.1600
29-Feb-2024;182.9400;253.8500;125.3400
28-Feb-2024;179.8600;248.5500;125.8800
27-Feb-2024;176.6200;248.0000;124.0800
26-Feb-2024;174.9000;245.6500;123.0200
23-Feb-2024;175.3000;246.5000;124.0000
22-Feb-2024;172.1000;255.1000;122.4000
21-Feb-2024;169.4200;250.7000;119.5800
20-Feb-2024;168.7200;249.4000;118.0800
19-Feb-2024;169.5800;248.6500;119.9800
16-Feb-2024;169.2200;247.1000;119.6600
15-Feb-2024;167.0000;246.0000;119.1800
14-Feb-2024;165.0400;244.6000;117.7800
13-Feb-2024;163.6800;245.7000;118.6200
12-Feb-2024;165.1400;246.2500;119.7600
09-Feb-2024;165.5200;243.0000;118.5800
08-Feb-2024;169.7800;243.8500;118.7400
07-Feb-2024;168.1600;245.2500;117.7200
06-Feb-2024;167.3800;248.1000;118.0400
05-Feb-2024;164.6200;245.4000;119.0800
02-Feb-2024;166.6600;245.9000;119.8000
01-Feb-2024;166.5600;245.2500;118.1800
31-Jan-2024;166.6800;247.8000;119.8400
30-Jan-2024;169.3200;247.6000;116.6400
29-Jan-2024;167.3400;246.5500;115.9600
26-Jan-2024;167.8600;248.1000;115.3400
25-Jan-2024;167.2000;246.8500;114.8400
24-Jan-2024;167.5000;248.5000;116.0000
23-Jan-2024;162.0400;245.4000;113.7800
22-Jan-2024;163.4000;249.8500;107.9400
19-Jan-2024;160.9400;247.1500;106.8800
18-Jan-2024;160.8200;245.3500;108.1200
17-Jan-2024;158.9400;244.8500;108.6800
16-Jan-2024;161.1600;242.6500;111.2800
15-Jan-2024;161.9200;241.8000;111.4800
12-Jan-2024;163.1200;241.7000;111.9800
11-Jan-2024;160.6600;239.6500;113.2400
10-Jan-2024;160.7800;242.2000;113.3800
09-Jan-2024;159.4000;243.5500;113.3400
08-Jan-2024;160.7800;244.5500;114.0000
05-Jan-2024;160.5000;243.9000;113.2600
04-Jan-2024;162.4200;245.5000;112.3200
03-Jan-2024;162.3200;242.5500;110.8600
